,ID,Room,UserID,GameName,GameColor,Army,ObjName,ObjDataID,ObjSup,ObjSon,ObjSonNum,ObjSonName,ObjSpace,ObjFlag,ObjPos,ObjIco,ObjIcon,ObjType,ObjRot,ObjStep,ObjStepMax,ObjPass,ObjBlood,ObjBlood2,ObjKeep,ObjSee,ObjHide,ObjAim,ObjValue,ObjValue2,ObjMoney,ObjRound,ObjAttack,ObjDate,ObjRadar,ObjRes,ObjRes2,Slope,A0,B0,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,F0,F1,F2,F3,R1,R2,R3,R4,R5,S1,S2,S3,S4,S5,Wz,Title,WARID
0,13222,1,0,,BLUE,111,坦克,60,0,,0,,0,BLUE,70081,T80,T80,2,0,6,6,0,3,3,0,0,0,0,10,0,0,0,0,1900-01-01 00:00:00,0,0,0,30,0,4,1,0,0,0,0,0,0,0,0,0,0,1,30,0,0,2,0,0,30,0,6000,1,0,0,0,10,10,0,0,0,10,25,0,0,0,"36, 43",推演室1,2018530143055
1,13223,1,0,,BLUE,112,坦克,60,0,,0,,0,BLUE,80081,T80,T80,2,0,6,6,0,3,3,0,0,0,0,10,0,0,0,0,1900-01-01 00:00:00,0,0,0,30,0,4,1,0,0,0,0,0,0,0,0,0,0,1,30,0,0,2,0,0,30,0,6000,1,0,0,0,10,10,0,0,0,10,25,0,0,0,"36, 43",推演室1,2018530143055
2,13224,1,0,,BLUE,121,步兵小队,6,0,,0,,0,BLUE,80080,BIA-98,BIA98,1,0,3,3,0,3,3,0,0,0,0,4,0,0,0,0,1900-01-01 00:00:00,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室1,2018530143055
3,13225,1,0,,BLUE,121,战车,32,0,"BIA-AK,COD-M4,BIA-98,COD-98",0,,1,BLUE,80080,BMPIQ,BMP,2,0,7,7,0,3,3,0,0,0,0,8,0,0,0,0,1900-01-01 00:00:00,0,0,0,30,0,3,0,0,4,0,0,0,0,0,0,0,0,1,40,4,0,2,0,0,40,0,6000,1,0,0,0,10,8,0,0,0,10,25,0,0,0,"54, 56, 43, 69",推演室1,2018530143055
4,13226,1,0,,BLUE,122,步兵小队,6,0,,0,,0,BLUE,80082,BIA-98,BIA98,1,0,3,3,0,3,3,0,0,0,0,4,0,0,0,0,1900-01-01 00:00:00,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室1,2018530143055
5,13227,1,0,,BLUE,122,战车,32,0,"BIA-AK,COD-M4,BIA-98,COD-98",0,,1,BLUE,80082,BMPIQ,BMP,2,0,7,7,0,3,3,0,0,0,0,8,0,0,0,0,1900-01-01 00:00:00,0,0,0,30,0,3,0,0,4,0,0,0,0,0,0,0,0,1,40,4,0,2,0,0,40,0,6000,1,0,0,0,10,8,0,0,0,10,25,0,0,0,"54, 56, 43, 69",推演室1,2018530143055
6,13228,1,0,,RED,111,重型坦克,57,0,,0,,0,RED,80015,M60A3,GYL,2,180,6,6,0,3,3,0,0,0,0,9,0,0,0,0,1900-01-01 00:00:00,0,0,0,30,0,3,1,0,4,0,0,0,0,0,0,0,0,1,30,4,0,2,0,0,30,0,6000,1,0,0,0,10,10,0,0,0,10,25,0,0,0,"37, 43, 69",推演室1,2018530143055
7,13229,1,0,,RED,112,重型坦克,57,0,,0,,0,RED,90015,M60A3,GYL,2,180,6,6,0,3,3,0,0,0,0,9,0,0,0,0,1900-01-01 00:00:00,0,0,0,30,0,3,1,0,4,0,0,0,0,0,0,0,0,1,30,4,0,2,0,0,30,0,6000,1,0,0,0,10,10,0,0,0,10,25,0,0,0,"37, 43, 69",推演室1,2018530143055
8,13230,1,0,,RED,121,步兵小队,1,0,,0,,0,RED,90016,PLA-98,PLA98,1,180,3,3,0,3,3,0,0,0,0,4,0,0,0,0,1900-01-01 00:00:00,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室1,2018530143055
9,13231,1,0,,RED,121,中型战车,63,0,"PLA-95,PLA-98",0,,1,RED,90016,LAV,09,2,180,6,6,0,3,3,0,0,0,0,6,0,0,0,0,1900-01-01 00:00:00,0,0,0,25,0,2,0,0,4,0,0,0,0,0,0,0,0,1,40,4,0,3,0,0,40,0,6000,1,0,0,0,10,8,0,0,0,10,25,0,0,0,"56, 43, 69",推演室1,2018530143055
10,13232,1,0,,RED,122,步兵小队,1,0,,0,,0,RED,90014,PLA-98,PLA98,1,180,3,3,0,3,3,0,0,0,0,4,0,0,0,0,1900-01-01 00:00:00,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,1,10,4,0,0,0,0,10,0,5000,1,0,0,0,6,7,0,0,0,10,25,0,0,0,"35, 29, 71",推演室1,2018530143055
11,13233,1,0,,RED,122,中型战车,63,0,"PLA-95,PLA-98",0,,1,RED,90014,LAV,09,2,180,6,6,0,3,3,0,0,0,0,6,0,0,0,0,1900-01-01 00:00:00,0,0,0,25,0,2,0,0,4,0,0,0,0,0,0,0,0,1,40,4,0,3,0,0,40,0,6000,1,0,0,0,10,8,0,0,0,10,25,0,0,0,"56, 43, 69",推演室1,2018530143055
12,13487,6,31,hexin,BLUE,111,坦克,60,0,,0,,0,BLUE,60053,T80,T80,2,0,6,3,0,0,3,6,60055,0,0,10,0,0,6,0,2018-05-30 14:49:05,0,0,0,30,0,4,1,0,0,0,0,0,0,0,0,0,0,1,30,0,14,2,0,0,30,0,6000,1,0,0,0,10,10,0,0,0,10,25,0,0,0,"36, 43",推演室6,2018530145544
13,13488,6,31,hexin,BLUE,112,坦克,60,0,,0,,0,BLUE,90053,T80,T80,2,180,6,6,0,3,3,0,90051,0,0,10,0,0,10,10,2018-05-30 14:52:47,0,0,0,30,0,4,1,0,0,0,0,0,0,0,0,0,0,1,28,0,8,2,0,0,30,0,6000,1,0,0,0,10,10,0,0,0,10,25,0,0,0,"36, 43",推演室6,2018530145544
14,13490,6,31,,BLUE,121,战车,32,0,"BIA-AK,COD-M4,BIA-98,COD-98",0,步兵小队,1,BLUE,80052,BMPIQ,BMP,2,60,7,7,0,3,3,0,80053,0,0,8,0,0,8,0,2018-05-30 14:51:14,0,0,0,30,0,3,0,0,4,0,0,0,0,0,0,0,0,1,40,4,14,2,0,0,40,0,6000,1,0,0,0,10,8,0,0,0,10,25,0,0,0,"54, 56, 43, 69",推演室6,2018530145544
15,13492,6,31,,BLUE,122,战车,32,0,"BIA-AK,COD-M4,BIA-98,COD-98",0,步兵小队,1,BLUE,80072,BMPIQ,BMP,2,120,7,7,0,3,3,0,80071,0,0,8,0,0,8,0,2018-05-30 14:50:54,0,0,0,30,0,3,0,0,4,0,0,0,0,0,0,0,0,1,40,4,8,2,0,0,40,0,6000,1,0,0,0,10,8,0,0,0,10,25,0,0,0,"54, 56, 43, 69",推演室6,2018530145544
16,13493,6,31,hexin,RED,111,重型坦克,57,0,,0,,0,RED,70028,M60A3,GYL,2,176,6,6,0,3,3,0,70027,0,0,9,0,0,3,6,2018-05-30 14:45:09,0,0,0,30,0,3,1,0,3,0,0,0,0,0,0,0,0,1,30,4,8,2,0,0,30,0,6000,1,0,0,0,10,10,0,0,0,10,25,0,0,0,"37, 43, 69",推演室6,2018530145544
