,ID,Room,UserID,UserFlag,CityIco,Flag,CityName,CityRot,MapID,L1,L2,L3,L4,L5,L6,C0,C1,C2,C3,Mark,Army,WARID
0,2482,1,0,GREEN,GREEN,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530143055
1,2483,1,0,GREEN,GREEN,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530143055
2,2526,6,0,GREEN,GREEN,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530145544
3,2527,6,0,GREEN,GREEN,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530145544
4,2502,11,0,GREEN,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530151212
5,2503,11,0,GREEN,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530151212
6,2498,9,30,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530151256
7,2499,9,30,RED,RED,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530151256
8,2496,8,49,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530151435
9,2497,8,0,GREEN,GREEN,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530151435
10,2484,2,0,GREEN,GREEN,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,201853015202
11,2485,2,0,RED,RED,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,201853015202
12,2524,3,54,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,201853015400
13,2525,3,54,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,201853015400
14,2528,6,50,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,201853015441
15,2529,6,50,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,201853015441
16,2530,5,30,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530154639
17,2531,5,30,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530154639
18,2504,12,38,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530154848
19,2505,12,51,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530154848
20,2538,2,34,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530155150
21,2539,2,35,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530155150
22,2508,14,58,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530155625
23,2509,14,58,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530155625
24,2490,5,44,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,201853015938
25,2491,5,0,GREEN,GREEN,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,201853015938
26,2534,9,0,GREEN,GREEN,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530164933
27,2535,9,0,GREEN,GREEN,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530164933
28,2488,4,36,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530165353
29,2489,4,36,RED,RED,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530165353
30,2548,2,62,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530171015
31,2549,2,62,RED,RED,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530171015
32,2544,5,61,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530171645
33,2545,5,61,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530171645
34,2532,11,43,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,201853017241
35,2533,11,43,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,201853017241
36,2556,4,0,GREEN,GREEN,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530172627
37,2557,4,0,GREEN,GREEN,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530172627
38,2558,2,62,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530172812
39,2559,2,62,RED,RED,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530172812
40,2550,14,68,RED,RED,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530172910
41,2551,14,65,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530172910
42,2518,19,69,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530173542
43,2519,19,69,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530173542
44,2522,1,40,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,2018530174045
45,2523,1,40,BLUE,BLUE,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,2018530174045
46,2562,5,71,BLUE,BLUE,GREEN,主要,330,80048,0,0,0,0,30,0,0,80,0,0,0,,201853018567
47,2563,5,71,RED,RED,GREEN,次要,330,100049,0,0,0,0,30,0,0,50,0,0,0,,201853018567
