RoomID,MapID,MapID2,Elevation,Note,Cond,ObjStep,GridID,GridType,GroundID
83,0,"(0, 0)",146.69,,0,1,0,0,60
83,7,"(1, 3)",140.67,,0,1,0,0,50
83,10024,"(2, 12)",148.63,,0,1,0,0,60
83,20043,"(5, 21)",123.99,,7,1,0,0,30
83,20040,"(4, 20)",125.8,,0,1,0,0,40
83,20052,"(4, 26)",121.36,,0,1,0,0,30
83,30051,"(7, 25)",120.38,,0,1,0,0,30
83,40036,"(8, 18)",128.0,,7,1,28,2,40
83,50051,"(11, 25)",119.88,,0,1,0,0,30
83,29,"(1, 14)",129.69,,0,1,0,0,40
83,10031,"(3, 15)",132.18,,0,1,0,0,40
83,30010,"(6, 5)",145.05,,0,1,0,0,60
83,30011,"(7, 5)",139.94,,0,1,0,0,50
83,30016,"(6, 8)",142.67,,0,1,0,0,50
83,40024,"(8, 12)",138.69,,0,1,28,2,50
83,40032,"(8, 16)",130.22,,7,1,28,2,40
83,40038,"(8, 19)",127.3,,0,1,31,2,40
83,60028,"(12, 14)",127.54,,0,1,0,0,40
83,60039,"(13, 19)",122.35,,0,1,0,0,30
83,60042,"(12, 21)",121.3,,0,1,0,0,30
83,60048,"(12, 24)",119.55,,0,1,40,2,30
83,70020,"(14, 10)",126.85,,0,1,0,0,40
83,70023,"(15, 11)",124.95,,0,1,0,0,40
83,70028,"(14, 14)",126.05,,7,1,43,2,40
83,70042,"(14, 21)",120.0,,0,1,0,0,30
83,80007,"(17, 3)",130.45,,0,1,0,0,40
83,90044,"(18, 22)",118.05,,0,1,0,0,30
83,90048,"(18, 24)",119.22,,7,1,0,0,30
83,100002,"(20, 1)",130.51,,0,1,0,0,40
83,100026,"(20, 13)",123.12,,0,1,28,2,30
83,100031,"(21, 15)",121.71,,0,1,0,0,30
83,100043,"(21, 21)",117.76,,0,1,0,0,30
83,100053,"(21, 26)",118.0,,0,3,51,3,30
83,110003,"(23, 1)",127.8,,0,1,0,0,40
83,110013,"(23, 6)",127.45,,0,1,0,0,40
83,110018,"(22, 9)",123.56,,0,1,34,2,30
83,110024,"(22, 12)",123.36,,0,1,0,0,30
